x: 101.31820829888704    y: 109.74504695396442
x: 168.72250974873128    y: 177.42591130996965
x: 15.054856043892872    y: 11.868723607186297
x: 124.97646102605802    y: 127.79884906140279
x: 192.11667574683628    y: 193.17845510073295
x: 3.3169366877976225    y: 8.946127237099521
x: 176.19218653367244    y: 172.30889949320397
x: 159.7184052465963    y: 164.66487751261312
x: 129.48407717357512    y: 139.90432426749052
x: 82.3707087552033    y: 77.43991346913944
x: 170.72971040357453    y: 176.58316907144703
x: 2.0770099506375095    y: 10.285017886018892
x: 187.02148178150637    y: 192.97690638175942
x: 86.76485733208933    y: 89.82381087256263
x: 14.350587666240177    y: 18.90650394693966
x: 53.61739993941927    y: 59.88725528215479
x: 144.4759864171633    y: 145.50860128931984
x: 105.48383985700403    y: 110.49972015395394
x: 163.6611350236097    y: 461.75644793648837
x: 170.93566416147712    y: 380.4185211002352
x: 61.964110134813176    y: 203.36211674878075
x: 88.32960191386267    y: 456.3454174887354
x: 63.68119347427263    y: 201.5553645133999
x: 15.794734078771388    y: 422.6532470341962
x: 183.27990530654944    y: 469.55322382507205
x: 98.25264578771767    y: 481.8734510273988
x: 2.170543842379824    y: 84.09143952693854
x: 93.25422235821708    y: 402.3663027346988
x: 13.945413161456454    y: 178.4134230383471
x: 141.50352453456887    y: 341.1609098528423
x: 195.54460667784593    y: 222.31333004507115
x: 137.5697068887351    y: 194.3016245012078
x: 40.21599763708357    y: 473.51913716626865
x: 65.45677075174    y: 350.85809781334274
x: 89.80680946989419    y: 311.7867221423886
x: 197.38130320171553    y: 306.26388693518845
x: 77.87213514858533    y: 224.53772587695758
